instance,benchmark_name,class,abs_improvement,time,solved,solver_config
1c3m.edge,networks,atmost200,0,,,jdrasil-b75t90r40-n1
1cb6.edge,networks,atmost1000,0,7.3018,1.0,htd-b150-n1
1cb6.edge,networks,atmost1000,0,11.3223,1.0,htd-b100-n1
1cb6.edge,networks,atmost1000,0,16.9099,1.0,jdrasil-b25-n1
1cb6.edge,networks,atmost1000,0,20.9396,1.0,jdrasil-b50-n1
1cb6.edge,networks,atmost1000,0,25.2515,1.0,jdrasil-b100-n1
1cb6.edge,networks,atmost1000,0,26.8412,1.0,jdrasil-b75t1800-n1
1cb6.edge,networks,atmost1000,0,27.185,1.0,jdrasil-b75-n1
1cb6.edge,networks,atmost1000,0,33.0897,1.0,tcs-b100-n1
1cb6.edge,networks,atmost1000,0,33.265,1.0,tcs-b50-n1
1cb6.edge,networks,atmost1000,0,35.2999,1.0,tcs-b75-n1
1cb6.edge,networks,atmost1000,0,7200.09,0.0,tcs-b150-n1
1cb6.edge,networks,atmost1000,0,7200.13,0.0,jdrasil-b150-n1
1cb6.edge,networks,atmost1000,0,,,htd-b175-n1
1cb6.edge,networks,atmost1000,0,,,jdrasil-b75t90r40-n1
1cb6.edge,networks,atmost1000,3,135.588,1.0,tcs-b125-n1
1cb6.edge,networks,atmost1000,3,406.225,1.0,jdrasil-b125-n1
1cuk_graph-pp.dimacs,twlib,atmost200,0,8.7955,1.0,jdrasil-b25-n1
1cuk_graph-pp.dimacs,twlib,atmost200,0,9.0438,1.0,jdrasil-b50-n1
1cuk_graph-pp.dimacs,twlib,atmost200,0,12.7003,1.0,tcs-b50-n1
1cuk_graph-pp.dimacs,twlib,atmost200,0,,,htd-b175-n1
1cuk_graph-pp.dimacs,twlib,atmost200,0,,,jdrasil-b75t90r40-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,3.7493,1.0,htd-b100-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,4.3771,1.0,htd-b150-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,10.3809,1.0,tcs-b100-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,10.4609,1.0,tcs-b125-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,10.7092,1.0,tcs-b150-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,11.0331,1.0,jdrasil-b100-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,12.1801,1.0,jdrasil-b75-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,12.637,1.0,jdrasil-b150-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,13.2326,1.0,tcs-b75-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,14.8314,1.0,jdrasil-b75t1800-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,16.6539,1.0,jdrasil-b125-n1
1cuk_graph.dimacs,twlib,atmost200,0,8.9848,1.0,jdrasil-b50-n1
1cuk_graph.dimacs,twlib,atmost200,0,9.1189,1.0,jdrasil-b25-n1
1cuk_graph.dimacs,twlib,atmost200,0,13.6739,1.0,tcs-b50-n1
1cuk_graph.dimacs,twlib,atmost200,0,,,htd-b175-n1
1cuk_graph.dimacs,twlib,atmost200,0,,,jdrasil-b75t90r40-n1
1cuk_graph.dimacs,twlib,atmost200,1,3.5896,1.0,htd-b100-n1
1cuk_graph.dimacs,twlib,atmost200,1,4.0727,1.0,htd-b150-n1
1cuk_graph.dimacs,twlib,atmost200,1,11.0325,1.0,tcs-b125-n1
1cuk_graph.dimacs,twlib,atmost200,1,11.3086,1.0,tcs-b150-n1
1cuk_graph.dimacs,twlib,atmost200,1,11.5925,1.0,jdrasil-b75t1800-n1
1cuk_graph.dimacs,twlib,atmost200,1,13.039,1.0,tcs-b75-n1
1cuk_graph.dimacs,twlib,atmost200,1,14.927,1.0,jdrasil-b75-n1
1cuk_graph.dimacs,twlib,atmost200,1,16.345,1.0,jdrasil-b100-n1
1cuk_graph.dimacs,twlib,atmost200,1,16.3477,1.0,tcs-b100-n1
1cuk_graph.dimacs,twlib,atmost200,1,20.5144,1.0,jdrasil-b125-n1
1cuk_graph.dimacs,twlib,atmost200,1,21.4323,1.0,jdrasil-b150-n1
1d2n.edge,networks,atmost500,0,10.1245,1.0,jdrasil-b50-n1
1d2n.edge,networks,atmost500,0,11.1762,1.0,jdrasil-b25-n1
1d2n.edge,networks,atmost500,0,13.5357,1.0,tcs-b50-n1
1d2n.edge,networks,atmost500,0,,,htd-b175-n1
1d2n.edge,networks,atmost500,0,,,jdrasil-b75t90r40-n1
1d2n.edge,networks,atmost500,1,4.5386,1.0,htd-b150-n1
1d2n.edge,networks,atmost500,1,5.2995,1.0,htd-b100-n1
1d2n.edge,networks,atmost500,2,13.5162,1.0,tcs-b75-n1
1d2n.edge,networks,atmost500,2,18.8822,1.0,jdrasil-b75-n1
1d2n.edge,networks,atmost500,2,20.0313,1.0,jdrasil-b150-n1
1d2n.edge,networks,atmost500,2,20.645,1.0,jdrasil-b100-n1
1d2n.edge,networks,atmost500,2,21.6362,1.0,jdrasil-b125-n1
1d2n.edge,networks,atmost500,2,22.0027,1.0,jdrasil-b75t1800-n1
1d2n.edge,networks,atmost500,3,15.1142,1.0,tcs-b150-n1
1d2n.edge,networks,atmost500,3,16.1839,1.0,tcs-b125-n1
1d2n.edge,networks,atmost500,3,16.273,1.0,tcs-b100-n1
1d4t_graph.dimacs,twlib,atmost200,0,8.155,1.0,jdrasil-b25-n1
1d4t_graph.dimacs,twlib,atmost200,0,9.0809,1.0,jdrasil-b50-n1
1d4t_graph.dimacs,twlib,atmost200,0,9.9163,1.0,tcs-b50-n1
1d4t_graph.dimacs,twlib,atmost200,0,,,htd-b175-n1
1d4t_graph.dimacs,twlib,atmost200,0,,,jdrasil-b75t90r40-n1
1d4t_graph.dimacs,twlib,atmost200,1,2.6878,1.0,htd-b100-n1
1d4t_graph.dimacs,twlib,atmost200,1,3.0975,1.0,htd-b150-n1
1d4t_graph.dimacs,twlib,atmost200,4,9.4121,1.0,tcs-b125-n1
1d4t_graph.dimacs,twlib,atmost200,4,10.0591,1.0,tcs-b150-n1
1d4t_graph.dimacs,twlib,atmost200,4,10.5924,1.0,tcs-b100-n1
1d4t_graph.dimacs,twlib,atmost200,4,10.9571,1.0,tcs-b75-n1
1d4t_graph.dimacs,twlib,atmost200,4,16.0996,1.0,jdrasil-b150-n1
1d4t_graph.dimacs,twlib,atmost200,4,17.0061,1.0,jdrasil-b75-n1
1d4t_graph.dimacs,twlib,atmost200,4,17.1388,1.0,jdrasil-b125-n1
1d4t_graph.dimacs,twlib,atmost200,4,17.1776,1.0,jdrasil-b100-n1
1d4t_graph.dimacs,twlib,atmost200,4,20.3625,1.0,jdrasil-b75t1800-n1
1dd3_graph-pp.dimacs,twlib,atmost200,0,2.3261,1.0,htd-b150-n1
1dd3_graph-pp.dimacs,twlib,atmost200,0,2.3573,1.0,htd-b100-n1
1dd3_graph-pp.dimacs,twlib,atmost200,0,6.8549,1.0,tcs-b150-n1
1dd3_graph-pp.dimacs,twlib,atmost200,0,7.087,1.0,tcs-b125-n1
1dd3_graph-pp.dimacs,twlib,atmost200,0,7.1168,1.0,tcs-b75-n1
1dd3_graph-pp.dimacs,twlib,atmost200,0,7.1856,1.0,tcs-b100-n1
1dd3_graph-pp.dimacs,twlib,atmost200,0,7.3672,1.0,jdrasil-b25-n1
1dd3_graph-pp.dimacs,twlib,atmost200,0,7.8704,1.0,tcs-b50-n1
1dd3_graph-pp.dimacs,twlib,atmost200,0,9.1062,1.0,jdrasil-b50-n1
1dd3_graph-pp.dimacs,twlib,atmost200,0,9.4427,1.0,jdrasil-b75-n1
