instance,benchmark_name,class,width,width,width,width,ubound,ubound,ubound,ubound,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver,solver_config,wall,wall,error,wall,wall,solver_args,run
,,,mean,amin,amax,std,mean,amin,amax,std,count_nonzero,sum,amax,mean,amin,amax,std,,,amin,std,amax,mean,amax,,count
1bkb.edge,networks,atmost200,24.0,24.0,24.0,,27.0,27.0,27.0,,1,3,3,15.4376,15.4376,15.4376,,tw-limprovement,jdrasil-b75t1800-n1,14.8432,,0,14.8432,14.8432,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",1
1bkb.edge,networks,atmost200,24.0,24.0,24.0,,27.0,27.0,27.0,,1,3,3,16.8157,16.8157,16.8157,,tw-limprovement,jdrasil-b50-n1,16.2672,,0,16.2672,16.2672,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1bkb.edge,networks,atmost200,24.0,24.0,24.0,,27.0,27.0,27.0,,1,3,3,17.9358,17.9358,17.9358,,tw-limprovement,jdrasil-b100-n1,17.1054,,0,17.1054,17.1054,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1bkb.edge,networks,atmost200,24.0,24.0,24.0,,27.0,27.0,27.0,,1,3,3,18.7707,18.7707,18.7707,,tw-limprovement,jdrasil-b125-n1,17.9857,,0,17.9857,17.9857,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1bkb.edge,networks,atmost200,24.0,24.0,24.0,,27.0,27.0,27.0,,1,3,3,20.1648,20.1648,20.1648,,tw-limprovement,jdrasil-b150-n1,19.3368,,0,19.3368,19.3368,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1bkb_graph-pp.dimacs,twlib,atmost200,32.0,32.0,32.0,,33.0,33.0,33.0,,1,1,1,2.6012,2.6012,2.6012,,tw-limprovement,htd-b150-n1,2.0243,,0,2.0243,2.0243,-w 1800 -b 150 -r 10 -s htd_main,1
1bkb_graph-pp.dimacs,twlib,atmost200,32.0,32.0,32.0,,33.0,33.0,33.0,,1,1,1,2.9853,2.9853,2.9853,,tw-limprovement,htd-b100-n1,2.3598,,0,2.3598,2.3598,-w 1800 -b 100 -r 10 -s htd_main,1
1bkb_graph-pp.dimacs,twlib,atmost200,30.0,30.0,30.0,,33.0,33.0,33.0,,1,3,3,7.3712,7.3712,7.3712,,tw-limprovement,tcs-b150-n1,6.8515,,0,6.8515,6.8515,-w 1800 -b 150 -r 10,1
1bkb_graph-pp.dimacs,twlib,atmost200,30.0,30.0,30.0,,33.0,33.0,33.0,,1,3,3,7.9756,7.9756,7.9756,,tw-limprovement,tcs-b125-n1,7.3713,,0,7.3713,7.3713,-w 1800 -b 125 -r 10,1
1bkb_graph-pp.dimacs,twlib,atmost200,30.0,30.0,30.0,,33.0,33.0,33.0,,1,3,3,8.841,8.841,8.841,,tw-limprovement,tcs-b75-n1,8.2904,,0,8.2904,8.2904,-w 1800 -b 75 -r 10,1
