instance,benchmark_name,class,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver_config
,,,count_nonzero,sum,amax,mean,amin,amax,std,
1bkf_graph.dimacs,twlib,atmost200,1,2,2,17.1225,17.1225,17.1225,,jdrasil-b75t1800-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,18.3855,18.3855,18.3855,,jdrasil-b100-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,21.2054,21.2054,21.2054,,jdrasil-b125-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,22.04,22.04,22.04,,jdrasil-b150-n1
1bkr_graph.dimacs,twlib,atmost200,0,0,0,2.6754,2.6754,2.6754,,htd-b150-n1
1bkr_graph.dimacs,twlib,atmost200,0,0,0,2.7954,2.7954,2.7954,,htd-b100-n1
1bkr_graph.dimacs,twlib,atmost200,0,0,0,8.2658,8.2658,8.2658,,jdrasil-b50-n1
1bkr_graph.dimacs,twlib,atmost200,0,0,0,9.4534,9.4534,9.4534,,jdrasil-b25-n1
1bkr_graph.dimacs,twlib,atmost200,0,0,0,12.2555,12.2555,12.2555,,tcs-b50-n1
1bkr_graph.dimacs,twlib,atmost200,0,0,0,7200.09,7200.09,7200.09,,tcs-b150-n1
1bkr_graph.dimacs,twlib,atmost200,0,0,0,7200.1,7200.1,7200.1,,tcs-b125-n1
1bkr_graph.dimacs,twlib,atmost200,0,0,0,7200.11,7200.11,7200.11,,jdrasil-b150-n1
1bkr_graph.dimacs,twlib,atmost200,0,0,0,7200.12,7200.12,7200.12,,jdrasil-b125-n1
1bkr_graph.dimacs,twlib,atmost200,0,0,0,,,,,htd-b175-n1
1bkr_graph.dimacs,twlib,atmost200,0,0,0,,,,,jdrasil-b75t90r40-n1
1bkr_graph.dimacs,twlib,atmost200,1,11,11,2106.78,2106.78,2106.78,,jdrasil-b75t1800-n1
1bkr_graph.dimacs,twlib,atmost200,1,11,11,5298.89,5298.89,5298.89,,jdrasil-b100-n1
1bkr_graph.dimacs,twlib,atmost200,1,12,12,28.1745,28.1745,28.1745,,tcs-b75-n1
1bkr_graph.dimacs,twlib,atmost200,1,12,12,37.0925,37.0925,37.0925,,jdrasil-b75-n1
1bkr_graph.dimacs,twlib,atmost200,1,12,12,1296.69,1296.69,1296.69,,tcs-b100-n1
1c3m.edge,networks,atmost200,0,0,0,2.4396,2.4396,2.4396,,htd-b150-n1
1c3m.edge,networks,atmost200,0,0,0,2.5804,2.5804,2.5804,,htd-b100-n1
1c3m.edge,networks,atmost200,0,0,0,8.3973,8.3973,8.3973,,tcs-b75-n1
1c3m.edge,networks,atmost200,0,0,0,8.6125,8.6125,8.6125,,tcs-b100-n1
1c3m.edge,networks,atmost200,0,0,0,9.0756,9.0756,9.0756,,tcs-b150-n1
1c3m.edge,networks,atmost200,0,0,0,9.1158,9.1158,9.1158,,tcs-b125-n1
1c3m.edge,networks,atmost200,0,0,0,9.3662,9.3662,9.3662,,tcs-b50-n1
1c3m.edge,networks,atmost200,0,0,0,13.3947,13.3947,13.3947,,jdrasil-b50-n1
1c3m.edge,networks,atmost200,0,0,0,17.7522,17.7522,17.7522,,jdrasil-b75t1800-n1
1c3m.edge,networks,atmost200,0,0,0,19.3182,19.3182,19.3182,,jdrasil-b75-n1
1c3m.edge,networks,atmost200,0,0,0,20.7854,20.7854,20.7854,,jdrasil-b100-n1
1c3m.edge,networks,atmost200,0,0,0,20.9837,20.9837,20.9837,,jdrasil-b125-n1
1c3m.edge,networks,atmost200,0,0,0,22.5893,22.5893,22.5893,,jdrasil-b25-n1
1c3m.edge,networks,atmost200,0,0,0,23.2983,23.2983,23.2983,,jdrasil-b150-n1
1c3m.edge,networks,atmost200,0,0,0,,,,,htd-b175-n1
1c3m.edge,networks,atmost200,0,0,0,,,,,jdrasil-b75t90r40-n1
1cb6.edge,networks,atmost1000,0,0,0,7.3018,7.3018,7.3018,,htd-b150-n1
1cb6.edge,networks,atmost1000,0,0,0,11.3223,11.3223,11.3223,,htd-b100-n1
1cb6.edge,networks,atmost1000,0,0,0,16.9099,16.9099,16.9099,,jdrasil-b25-n1
1cb6.edge,networks,atmost1000,0,0,0,20.9396,20.9396,20.9396,,jdrasil-b50-n1
1cb6.edge,networks,atmost1000,0,0,0,25.2515,25.2515,25.2515,,jdrasil-b100-n1
1cb6.edge,networks,atmost1000,0,0,0,26.8412,26.8412,26.8412,,jdrasil-b75t1800-n1
1cb6.edge,networks,atmost1000,0,0,0,27.185,27.185,27.185,,jdrasil-b75-n1
1cb6.edge,networks,atmost1000,0,0,0,33.0897,33.0897,33.0897,,tcs-b100-n1
1cb6.edge,networks,atmost1000,0,0,0,33.265,33.265,33.265,,tcs-b50-n1
1cb6.edge,networks,atmost1000,0,0,0,35.2999,35.2999,35.2999,,tcs-b75-n1
1cb6.edge,networks,atmost1000,0,0,0,7200.09,7200.09,7200.09,,tcs-b150-n1
1cb6.edge,networks,atmost1000,0,0,0,7200.13,7200.13,7200.13,,jdrasil-b150-n1
1cb6.edge,networks,atmost1000,0,0,0,,,,,htd-b175-n1
1cb6.edge,networks,atmost1000,0,0,0,,,,,jdrasil-b75t90r40-n1
1cb6.edge,networks,atmost1000,1,3,3,135.588,135.588,135.588,,tcs-b125-n1
1cb6.edge,networks,atmost1000,1,3,3,406.225,406.225,406.225,,jdrasil-b125-n1
1cuk_graph-pp.dimacs,twlib,atmost200,0,0,0,8.7955,8.7955,8.7955,,jdrasil-b25-n1
1cuk_graph-pp.dimacs,twlib,atmost200,0,0,0,9.0438,9.0438,9.0438,,jdrasil-b50-n1
1cuk_graph-pp.dimacs,twlib,atmost200,0,0,0,12.7003,12.7003,12.7003,,tcs-b50-n1
1cuk_graph-pp.dimacs,twlib,atmost200,0,0,0,,,,,htd-b175-n1
1cuk_graph-pp.dimacs,twlib,atmost200,0,0,0,,,,,jdrasil-b75t90r40-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,1,1,3.7493,3.7493,3.7493,,htd-b100-n1
