,instance,solver_config,abs_improvement
1543,Promedus_22.edge,jdrasil-b125-n1,1
9414,Promedus_27.edge,tcs-b100-n1,2
1475,Promedus_28.edge,jdrasil-b125-n1,2
1586,Promedus_34.edge,jdrasil-b125-n1,3
1518,Promedus_35.edge,jdrasil-b125-n1,1
1494,Promedus_36.edge,jdrasil-b125-n1,1
1499,ProteinFolding_11.edge,jdrasil-b125-n1,2
1636,fs-04.edge,jdrasil-b125-n1,1
5354,or_chain_10.fg.edge,jdrasil-b150-n1,4
1540,or_chain_133.fg.edge,jdrasil-b125-n1,1
9327,or_chain_147.fg.edge,tcs-b100-n1,2
1522,or_chain_148.fg.edge,jdrasil-b125-n1,2
1613,or_chain_182.fg.edge,jdrasil-b125-n1,3
1643,or_chain_201.fg.edge,jdrasil-b125-n1,1
1448,or_chain_225.fg.edge,jdrasil-b125-n1,1
21670,or_chain_64.fg.edge,jdrasil-b75-n1,3
6795,or_chain_65.fg.edge,jdrasil-b50-n1,2
1550,or_chain_74.fg.edge,jdrasil-b125-n1,1
1526,or_chain_85.fg.edge,jdrasil-b125-n1,1
11622,wcsp_16.edge,jdrasil-b75t1800-n1,2
13673,wcsp_17.edge,tcs-b125-n1,4
1502,wcsp_18.edge,jdrasil-b125-n1,1
2125,BN_72.edge,jdrasil-b125-n1,10
5959,BN_73.edge,jdrasil-b150-n1,2
2144,BN_76.edge,jdrasil-b125-n1,10
2159,mastermind_03_08_04-0000.edge,jdrasil-b125-n1,2
2099,mastermind_03_08_04-0001.edge,jdrasil-b125-n1,2
2109,mastermind_03_08_04-0002.edge,jdrasil-b125-n1,1
2111,mastermind_03_08_04-0003.edge,jdrasil-b125-n1,1
12157,mastermind_03_08_04-0004.edge,jdrasil-b75t1800-n1,5
2126,mastermind_03_08_04-0005.edge,jdrasil-b125-n1,1
9983,mastermind_03_08_04-0006.edge,tcs-b100-n1,4
2155,mastermind_03_08_04-0007.edge,jdrasil-b125-n1,1
7313,mastermind_03_08_04-0008.edge,jdrasil-b50-n1,1
2103,mastermind_03_08_04-0009.edge,jdrasil-b125-n1,1
2133,mastermind_03_08_04-0010.edge,jdrasil-b125-n1,1
2148,mastermind_03_08_04-0011.edge,jdrasil-b125-n1,1
12089,mastermind_03_08_04-0012.edge,jdrasil-b75t1800-n1,2
10017,mastermind_03_08_04-0013.edge,tcs-b100-n1,2
2118,mastermind_03_08_04-0014.edge,jdrasil-b125-n1,1
2101,mastermind_03_08_04-0015.edge,jdrasil-b125-n1,2
20502,mastermind_03_08_05-0001.edge,htd-b150-n1,1
2147,mastermind_03_08_05-0002.edge,jdrasil-b125-n1,1
2098,mastermind_03_08_05-0003.edge,jdrasil-b125-n1,1
2138,mastermind_03_08_05-0004.edge,jdrasil-b125-n1,2
2127,mastermind_03_08_05-0008.edge,jdrasil-b125-n1,1
12106,mastermind_03_08_05-0009.edge,jdrasil-b75t1800-n1,2
12090,mastermind_03_08_05-0010.edge,jdrasil-b75t1800-n1,4
2106,mastermind_03_08_05-0011.edge,jdrasil-b125-n1,2
2100,mastermind_03_08_05-0013.edge,jdrasil-b125-n1,1
10025,mastermind_03_08_05-0014.edge,tcs-b100-n1,1
2107,mastermind_03_08_05-0015.edge,jdrasil-b125-n1,2
12120,mastermind_04_08_04-0000.edge,jdrasil-b75t1800-n1,6
28404,mastermind_04_08_04-0001.edge,jdrasil-b100-n1,6
2097,mastermind_04_08_04-0002.edge,jdrasil-b125-n1,2
22208,mastermind_04_08_04-0003.edge,jdrasil-b75-n1,6
12146,mastermind_04_08_04-0004.edge,jdrasil-b75t1800-n1,2
20548,mastermind_04_08_04-0005.edge,htd-b150-n1,4
20531,mastermind_04_08_04-0006.edge,htd-b150-n1,4
28428,mastermind_04_08_04-0007.edge,jdrasil-b100-n1,6
28412,mastermind_04_08_04-0008.edge,jdrasil-b100-n1,6
2146,mastermind_04_08_04-0009.edge,jdrasil-b125-n1,7
12118,mastermind_04_08_04-0010.edge,jdrasil-b75t1800-n1,6
12131,mastermind_04_08_04-0011.edge,jdrasil-b75t1800-n1,6
12148,mastermind_04_08_04-0012.edge,jdrasil-b75t1800-n1,5
12159,mastermind_04_08_04-0013.edge,jdrasil-b75t1800-n1,5
12083,mastermind_04_08_04-0014.edge,jdrasil-b75t1800-n1,6
12150,mastermind_04_08_04-0015.edge,jdrasil-b75t1800-n1,5
12156,mastermind_10_08_03-0000.edge,jdrasil-b75t1800-n1,4
12124,mastermind_10_08_03-0001.edge,jdrasil-b75t1800-n1,4
12160,mastermind_10_08_03-0002.edge,jdrasil-b75t1800-n1,5
