,instance,benchmark_name,class,width,ubound,abs_improvement,rel_improvement,solved,time,solver,solver_config,index,run,solver_version,wall,machine,stderr,error,solver_args,full_path,error_str
2299,linkage_22.edge,networks,atmost1000,24.0,27.0,3,0.125,1.0,51.7306,tw-limprovement,jdrasil-b125-n1,2299,1,1.0,50.8021,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/linkage_22.edge/run1,
2337,linkage_27.edge,networks,atmost1000,23.0,26.0,3,0.1304,1.0,285.582,tw-limprovement,jdrasil-b125-n1,2337,1,1.0,284.6681,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/linkage_27.edge/run1,
2343,log-1.cnf.edge,networks,atmost1000,46.0,48.0,2,0.0435,1.0,1280.27,tw-limprovement,jdrasil-b125-n1,2343,1,1.0,1279.4207,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/log-1.cnf.edge/run1,
2463,or_chain_103.fg.edge,networks,atmost1000,32.0,34.0,2,0.0625,1.0,122.328,tw-limprovement,jdrasil-b125-n1,2463,1,1.0,121.481,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/or_chain_103.fg.edge/run1,
12444,or_chain_104.fg.edge,networks,atmost1000,39.0,47.0,8,0.2051,1.0,163.608,tw-limprovement,jdrasil-b75t1800-n1,12444,1,1.0,162.2055,cobra,,0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b75t1800-n1/atmost1000/or_chain_104.fg.edge/run1,
12355,or_chain_107.fg.edge,networks,atmost1000,29.0,34.0,5,0.1724,1.0,290.361,tw-limprovement,jdrasil-b75t1800-n1,12355,1,1.0,289.4881,cobra,,0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b75t1800-n1/atmost1000/or_chain_107.fg.edge/run1,
2358,or_chain_11.fg.edge,networks,atmost1000,54.0,66.0,12,0.2222,1.0,456.58,tw-limprovement,jdrasil-b125-n1,2358,1,1.0,455.7075,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/or_chain_11.fg.edge/run1,
22423,or_chain_114.fg.edge,networks,atmost1000,32.0,38.0,6,0.1875,1.0,92.6649,tw-limprovement,jdrasil-b75-n1,22423,1,1.0,92.0069,cobra,,0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b75-n1/atmost1000/or_chain_114.fg.edge/run1,
10244,or_chain_118.fg.edge,networks,atmost1000,45.0,55.0,10,0.2222,1.0,201.66,tw-limprovement,tcs-b100-n1,10244,1,1.0,201.0093,cobra,,0,-w 1800 -b 100 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b100-n1/atmost1000/or_chain_118.fg.edge/run1,
2348,or_chain_123.fg.edge,networks,atmost1000,34.0,43.0,9,0.2647,1.0,1290.95,tw-limprovement,jdrasil-b125-n1,2348,1,1.0,1290.0773,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/or_chain_123.fg.edge/run1,
