instance,benchmark_name,class,abs_improvement,time,solved,solver_config
1f5f.edge,networks,atmost200,8,76.1024,1.0,tcs-b100-n1
1f9m_graph.dimacs,twlib,atmost200,2,2.8981,1.0,htd-b100-n1
1f9m_graph.dimacs,twlib,atmost200,2,4.4615,1.0,htd-b150-n1
1f9m_graph.dimacs,twlib,atmost200,2,10.7425,1.0,tcs-b150-n1
1f9m_graph.dimacs,twlib,atmost200,2,11.2307,1.0,tcs-b125-n1
1f9m_graph.dimacs,twlib,atmost200,2,12.2082,1.0,tcs-b100-n1
1f9m_graph.dimacs,twlib,atmost200,2,12.5075,1.0,jdrasil-b75t1800-n1
1f9m_graph.dimacs,twlib,atmost200,2,12.96,1.0,tcs-b75-n1
1f9m_graph.dimacs,twlib,atmost200,2,13.27,1.0,jdrasil-b75-n1
1f9m_graph.dimacs,twlib,atmost200,2,14.2521,1.0,jdrasil-b100-n1
1f9m_graph.dimacs,twlib,atmost200,2,17.6511,1.0,jdrasil-b150-n1
1f9m_graph.dimacs,twlib,atmost200,2,21.3837,1.0,jdrasil-b125-n1
1fpo_graph-pp.dimacs,twlib,atmost200,4,3.0786,1.0,htd-b100-n1
1fpo_graph-pp.dimacs,twlib,atmost200,4,3.3399,1.0,htd-b150-n1
1fpo_graph-pp.dimacs,twlib,atmost200,4,10.2064,1.0,tcs-b50-n1
1fpo_graph-pp.dimacs,twlib,atmost200,7,7.7719,1.0,tcs-b125-n1
1fpo_graph-pp.dimacs,twlib,atmost200,7,8.2114,1.0,tcs-b150-n1
1fpo_graph-pp.dimacs,twlib,atmost200,7,8.7092,1.0,tcs-b75-n1
1fpo_graph-pp.dimacs,twlib,atmost200,7,8.9333,1.0,tcs-b100-n1
1fpo_graph-pp.dimacs,twlib,atmost200,7,23.4946,1.0,jdrasil-b50-n1
1fpo_graph-pp.dimacs,twlib,atmost200,7,23.7049,1.0,jdrasil-b100-n1
1fpo_graph-pp.dimacs,twlib,atmost200,7,27.0127,1.0,jdrasil-b75-n1
1fpo_graph-pp.dimacs,twlib,atmost200,7,28.298,1.0,jdrasil-b150-n1
1fpo_graph-pp.dimacs,twlib,atmost200,7,28.3723,1.0,jdrasil-b75t1800-n1
1fpo_graph-pp.dimacs,twlib,atmost200,7,30.2761,1.0,jdrasil-b125-n1
1fpo_graph.dimacs,twlib,atmost200,4,3.0128,1.0,htd-b150-n1
1fpo_graph.dimacs,twlib,atmost200,4,3.4055,1.0,htd-b100-n1
1fpo_graph.dimacs,twlib,atmost200,6,16.6222,1.0,jdrasil-b50-n1
1fpo_graph.dimacs,twlib,atmost200,7,8.0397,1.0,tcs-b125-n1
1fpo_graph.dimacs,twlib,atmost200,7,8.5222,1.0,tcs-b150-n1
1fpo_graph.dimacs,twlib,atmost200,7,9.2788,1.0,tcs-b100-n1
1fpo_graph.dimacs,twlib,atmost200,7,9.8321,1.0,tcs-b75-n1
1fpo_graph.dimacs,twlib,atmost200,7,13.8973,1.0,tcs-b50-n1
1fpo_graph.dimacs,twlib,atmost200,7,26.5281,1.0,jdrasil-b75-n1
1fpo_graph.dimacs,twlib,atmost200,7,28.6997,1.0,jdrasil-b125-n1
1fpo_graph.dimacs,twlib,atmost200,7,33.2626,1.0,jdrasil-b100-n1
1fpo_graph.dimacs,twlib,atmost200,7,34.7282,1.0,jdrasil-b75t1800-n1
1fpo_graph.dimacs,twlib,atmost200,7,35.9133,1.0,jdrasil-b150-n1
1fs1_graph.dimacs,twlib,atmost200,3,10.2526,1.0,tcs-b100-n1
1fs1_graph.dimacs,twlib,atmost200,3,10.2647,1.0,tcs-b125-n1
1fs1_graph.dimacs,twlib,atmost200,3,10.7566,1.0,tcs-b150-n1
1fs1_graph.dimacs,twlib,atmost200,3,11.8584,1.0,tcs-b75-n1
1fs1_graph.dimacs,twlib,atmost200,3,25.5025,1.0,jdrasil-b150-n1
1fs1_graph.dimacs,twlib,atmost200,3,25.9803,1.0,jdrasil-b75t1800-n1
1fs1_graph.dimacs,twlib,atmost200,3,28.4527,1.0,jdrasil-b75-n1
1fs1_graph.dimacs,twlib,atmost200,3,29.2636,1.0,jdrasil-b125-n1
1fs1_graph.dimacs,twlib,atmost200,3,31.234,1.0,jdrasil-b100-n1
1g3p_graph-pp.dimacs,twlib,atmost200,4,11.8945,1.0,tcs-b125-n1
1g3p_graph-pp.dimacs,twlib,atmost200,4,13.1453,1.0,tcs-b150-n1
1g3p_graph-pp.dimacs,twlib,atmost200,4,13.3997,1.0,tcs-b75-n1
1g3p_graph-pp.dimacs,twlib,atmost200,4,16.2959,1.0,tcs-b100-n1
1g3p_graph-pp.dimacs,twlib,atmost200,4,33.6133,1.0,jdrasil-b125-n1
1g3p_graph-pp.dimacs,twlib,atmost200,4,35.5697,1.0,jdrasil-b75-n1
1g3p_graph-pp.dimacs,twlib,atmost200,4,38.2488,1.0,jdrasil-b100-n1
1g3p_graph-pp.dimacs,twlib,atmost200,4,38.6643,1.0,jdrasil-b150-n1
1g3p_graph-pp.dimacs,twlib,atmost200,4,40.7128,1.0,jdrasil-b75t1800-n1
1g3p_graph.dimacs,twlib,atmost200,4,12.4489,1.0,tcs-b150-n1
1g3p_graph.dimacs,twlib,atmost200,4,12.6804,1.0,tcs-b100-n1
1g3p_graph.dimacs,twlib,atmost200,4,13.2507,1.0,tcs-b125-n1
1g3p_graph.dimacs,twlib,atmost200,4,15.3161,1.0,tcs-b75-n1
1g3p_graph.dimacs,twlib,atmost200,4,30.1661,1.0,jdrasil-b75-n1
1g3p_graph.dimacs,twlib,atmost200,4,34.0452,1.0,jdrasil-b100-n1
1g3p_graph.dimacs,twlib,atmost200,4,35.1205,1.0,jdrasil-b150-n1
1g3p_graph.dimacs,twlib,atmost200,4,39.2697,1.0,jdrasil-b75t1800-n1
1g3p_graph.dimacs,twlib,atmost200,4,42.6377,1.0,jdrasil-b125-n1
